foundation_name,ein,state,city,peak_assets,current_assets,status,announced_date,sunset_date,timeline_source,why_listed,focus_areas,grantees_at_risk
John M. Olin Foundation,376031033,NY,New York,370000000,0,CLOSED,1982,Nov-05,Wikipedia/Philanthropy Roundtable,Conservative think tanks. Donor intent preservation. Closed Nov 2005,"Conservative policy, law & economics",Completed
Kendeda Fund,206881642,DE,Wilmington,148000000,0,CLOSED,2013,Dec-23,Inside Philanthropy,Diana Blank's 30-year $1B philanthropy. Closed Dec 2023,"Environment, education, arts, justice",Completed
Lankelly Chase,N/A,UK,London,180000000,100000000,SUNSETTING,2023,2028,Foundation Website/Alliance Magazine,UK foundation: Redistributing £134M by 2028. Social justice focus,"Systems change, social justice",200+
Levitt Foundation,880389016,NY,New York,150000000,150000000,SUNSETTING,2022,2041,Foundation Website,Announced spend-down: $150M by 2041 after 20 years of $20M giving,"Arts, education, community",200+
LK Whittier Foundation,956027493,CA,South Pasadena,84000000,0,CLOSED,N/A,2023,990 Data/Candid,"Medical research, Children's Hospital LA, Gladstone Institute. Closed 2023","Medical research, youth",Completed
Lucille P. Markey Charitable Trust,N/A,FL,Miami,500000000,0,CLOSED,1982,Jun-97,Chronicle of Higher Ed/NAP,Biomedical research. $500M over 15 years. Closed Jun 1997,Biomedical research,Completed
Marge & Charles J. Schott Foundation,316063407,OH,Cincinnati,97000000,0,CLOSED,N/A,2023,990 Data,Cincinnati focus. Major Cincinnati Zoo supporter. Closed 2023,"Cincinnati community, zoo",Completed
Medina Foundation,910745225,WA,Seattle,104000000,104000000,SUNSETTING,Dec-24,2027-2029,Foundation Website,Announced Dec 2024: 3-5 year sunset. Puget Sound homeless/poverty focus,"Housing, basic needs, youth",321
Peter Kiewit Foundation,476017619,NE,Omaha,480000000,480000000,SUNSETTING,2024,2030,Foundation Website/Omaha World-Herald,Announced 2024: 50th anniversary sunset. $480M remaining to Omaha/Nebraska,"Education, health, community development",300+
Raikes Foundation,912173492,WA,Seattle,124000000,124000000,SUNSETTING,N/A,2038-2040,NCFP/Bridgespan,Jeff & Tricia Raikes: sunset by 2038-2040 when founders in their 80s,"Racial equity, democracy, youth",150+
Ralph C. Wilson Jr. Foundation,383521608,MI,Detroit,1200000000,1200000000,SUNSETTING,2015,Jan-35,Inside Philanthropy,Founded as 20-year limited-life foundation. $1.2B to SE Michigan & Western NY by 2035,"Youth development, economic mobility, parks",500+
Rogers Family Foundation,943224234,CA,Oakland,50000000,5000000,SUNSETTING,2020,2025,Inside Philanthropy/Foundation Website,Announced 2020: Oakland education grantmaking ends 2025,"K-12 education, Oakland schools",75+
S.D. Bechtel Jr. Foundation,942778431,CA,San Francisco,1000000000,0,CLOSED,N/A,2020,Chronicle of Philanthropy,$1B STEM education foundation. Closed 2020 as planned,"STEM education, character, environment",Completed
Stupski Foundation,943085652,CA,San Francisco,371000000,57000000,SUNSETTING,2019,2027,Foundation Website/Inside Philanthropy,Accelerated spend-down: 76% of remaining funds in 2025. Hawaii & SF Bay focus,"Food systems, health, higher education",100+
Susan Thompson Buffett Foundation,476032365,NE,Omaha,4700000000,4700000000,SUNSETTING,N/A,10-15 yrs post-Buffett death,Foundation job postings/Wikipedia,Will sunset ~10-15 years after Warren Buffett passes. Currently $4.7B assets,"Reproductive health, education scholarships",200+
Swift Foundation,770559600,CA,Santa Barbara,50000000,25000000,SUNSETTING,2022,Dec-28,Foundation Website/Inside Philanthropy,Board decision 2022: sunset Dec 2028. Indigenous rights & biocultural diversity,"Indigenous rights, food sovereignty",50+
The Whitman Institute,N/A,CA,San Francisco,35000000,0,CLOSED,2011,Jun-22,Foundation Website,Trust-based philanthropy pioneer. 10-year spend-down complete Jun 2022,"Civic engagement, media, human rights",Completed
TransitCenter,134146467,NY,New York,70000000,70000000,SUNSETTING,2024,2036,Inside Philanthropy,Announced 2024: 12-year spend-down. Transit advocacy in Trump era,Public transportation advocacy,50+
Vincent Astor Foundation,N/A,NY,New York,195000000,0,CLOSED,1996,Dec-97,Duke CSPCS,"Brooke Astor's NYC philanthropy. Libraries, museums, parks. Closed Dec 1997","NYC arts, libraries, parks",Completed
Wellspring Philanthropic Fund,134146467,NY,New York,180000000,180000000,SUNSETTING,Aug-24,2028,Inside Philanthropy/Chronicle of Philanthropy,Announced Aug 2024: $180M to close by 2028. Major human rights funder,"Human rights, gender justice, LGBTQ, democracy",300+
WEM Foundation,411604640,MN,Minneapolis,354000000,0,CLOSED,Late 2022,Dec-23,Star Tribune,Whitney MacMillan's $500M final grants to Minnesota. Closed Dec 2023,"Arts, education, Minnesota community",Completed
,,,,,,,,,,,,
