foundation_name,ein,state,city,assets_millions,has_capacity_program,program_name,program_type,currently_active,num_nonprofits_served,hires_vendors,application_deadline,program_officer_name,program_officer_email,website_url,program_page_url,pitch_angle,priority_score,notes
Community Foundation of Louisville,,KY,Louisville,370,Yes,CNPE Partnership,training|vendor_services,Yes,Unknown,Yes,Rolling,N/A,N/A,cflouisville.org,N/A,Angle A - Plug into existing program,7,Partnership with Center for Nonprofit Excellence
Community Foundation of Greater Rochester,,NY,Rochester,350,Yes,Capacity building support,grantee_support,Yes,Unknown,Unknown,Rolling,N/A,N/A,racf.org,N/A,Angle B - Propose new program,5,Regional foundation
East Bay Community Foundation,,CA,Oakland,340,Yes,ASCEND:BLO Accelerator,cohort|vendor_services,Yes,Unknown,Yes,Check website,N/A,N/A,ebcf.org,N/A,Angle A - Plug into existing program,8,Proven accelerator model for Black-led organizations
San Antonio Area Foundation,,TX,San Antonio,330,Yes,National leader in nonprofit training,training|vendor_services,Yes,Unknown,Yes,Rolling,N/A,N/A,saafdn.org,N/A,Angle A - Plug into existing program,8,National reputation for nonprofit training
Central Indiana Community Foundation,,IN,Indianapolis,320,Yes,New capacity director role,vendor_services|grantee_support,Yes,Unknown,Yes,Rolling,N/A,N/A,cicf.org,N/A,Angle B - Propose new program,7,Growing infrastructure with new capacity director
Columbus Foundation,,OH,Columbus,310,Yes,Growing infrastructure with new director,grantee_support,Yes,Unknown,Yes,Rolling,N/A,N/A,columbusfoundation.org,N/A,Angle B - Propose new program,7,Growing infrastructure
Community Foundation of Greater Chattanooga,,TN,Chattanooga,300,Yes,Nonprofit support,grantee_support,Yes,Unknown,Unknown,Rolling,N/A,N/A,cfgc.org,N/A,Angle B - Propose new program,5,Regional foundation
Lincoln Community Foundation,,NE,Lincoln,280,Yes,Nonprofit support,grantee_support,Yes,Unknown,Unknown,Rolling,N/A,N/A,lcf.org,N/A,Angle B - Propose new program,5,Regional foundation
Wichita Community Foundation,,KS,Wichita,270,Yes,Nonprofit support,grantee_support,Yes,Unknown,Unknown,Rolling,N/A,N/A,wichitacf.org,N/A,Angle B - Propose new program,5,Regional foundation
Community Foundation of North Texas,,TX,Fort Worth,260,Yes,"ToolBox Grants ($3.7M since 2010, 162 nonprofits)",grants,Yes,18 in 2024 cycle,Yes,"April 1, 2026 (no 2025 apps)",Susan Van Meter,connect@northtexascf.org,northtexascf.org,northtexascf.org/nonprofits/capacity-building/,Angle A - Plug into existing program,8,"3-year cycle, $202K in 2024, on hiatus in 2025"
Community Foundation for Monterey County,,CA,Monterey,250,Yes,"Center for Nonprofit Excellence (LEAD Institute, workshops, consulting)",cohort|training|vendor_services|grantee_support,Yes,Unknown,Yes,Varies,N/A,N/A,cfmco.org,cfmco.org/center-for-nonprofit-excellence/,Angle A - Plug into existing program,9,"Comprehensive CNE with LEAD year-long cohort, consultant directory, office hours"
Community Foundation of Sarasota County,,FL,Sarasota,240,Yes,Capacity Building Grants (up to $15K),grants,Yes,Unknown,Yes,"Oct 1, 2025 and Feb 16, 2026",Michelle Croft,mcroft@cfsarasota.org,cfsarasota.org,cfsarasota.org/Capacity-Building-Grants,Angle A - Plug into existing program,8,Tied to Giving Challenge participation - clear deadlines
Community Foundation of the Ozarks,,MO,Springfield,230,Yes,"NSC Capacity Building Scholarship (10 per cohort)",cohort,Yes,10 per cohort,Yes,"Jan 10, 2025",N/A,learn@nscnow.org,cfozarks.org,cfozarks.org/resources/capacity-building-scholarship-program-with-nsc,Angle A - Plug into existing program,9,"12 meetings, 12 learning opps, 8 hrs consulting per org"
Community Foundation of Northern Colorado,,CO,Fort Collins,220,Yes,"OEMP Matching Program (50% match up to $5K) + Planned Giving Cohort",cohort|training|vendor_services,Yes,Unknown,Yes,"Rolling (April, Aug, Oct)",N/A,grants@nocofoundation.org,nocofoundation.org,nocofoundation.org/nonprofits/oemp/,Angle A - Plug into existing program,8,"Pre-vetted consultant network, Planned Giving Cohort launching Jan 2026"
Community Foundation of Western Massachusetts,,MA,Springfield,210,Yes,"Institute for Trustees Partnership (6-week cohort)",training|cohort,Yes,Unknown,Yes,August 2025 gatherings,Margaret Everett,meverett@communityfoundation.org,communityfoundation.org,communityfoundation.org/nonprofits/trainings-presentations/,Angle A - Plug into existing program,7,"4-foundation partnership, 6-week Institute for Trustees program"
Community Foundation of Jackson Hole,,WY,Jackson,200,Yes,"Professional Development Grants ($500/year) + Workshops",training|grants,Yes,Unknown,Yes,Quarterly,N/A,programservices@cfjacksonhole.org,cfjacksonhole.org,cfjacksonhole.org/workshops,Angle C - Webinar partnership,7,"Free workshops on strategic planning, grant writing, etc."
Community Foundation for Northeast Michigan,,MI,Alpena,150,Yes,Grant writing training (partner-hosted),training|grantee_support,Yes,100+ orgs annually,Unknown,Various,Patrick Heraghty,N/A,cfnem.org,N/A,Angle B - Propose new program,5,Limited direct capacity programs - opportunity to fill gap
Baton Rouge Area Foundation,,LA,Baton Rouge,600,Yes,"Center for Nonprofit Excellence (est. 2023) - 5 programs",cohort|training|vendor_services,Yes,Unknown,Yes,Board Chair Fellows: late fall 2025,Tammy Abshire,tabshire@braf.org,braf.org,braf.org/nonprofits/,Angle A - Plug into existing program,10,"New CNE division, Development Fellows, Board Fellows, consulting services, $500 membership"
Community Foundation of St. Joseph County,,IN,South Bend,180,Yes,"Leighton Award ($200K match) + ArtsEverywhere Capacity Grants",grants|grantee_support,Yes,Unknown,Yes,"May 1 and Nov 1 (Arts); Aug 1, 2025 (Leighton)",N/A,574-232-0041,cfsjc.org,cfsjc.org/initiatives/leighton-award-for-nonprofit-excellence/,Angle A - Plug into existing program,7,"$200K 2:1 matching challenge, arts-focused capacity grants"
