state,program_name,administering_agency,website_url,application_url,services_covered,payment_structure,typical_engagement_value,enrollment_open,application_deadline,requirements,approval_timeline,recipient_lists_public,grant_cycle_timing,co_marketing_available,contact_name,contact_email,contact_phone,fit_score,notes
GA,Georgia Center for Nonprofits Consulting Group,Georgia Center for Nonprofits,https://gcn.org/,,"Organizational design, management, strategy, finance, succession planning",Direct consulting fees,Varies,N/A - consulting firm model,N/A,Internal GCN team,N/A,N/A,N/A,N/A,,,678-916-3000,3,"LOW FIT: GCN provides consulting directly, not through external vendors. Not a provider pool model."
NC,NC Center for Nonprofits Managed Solutions,NC Center for Nonprofits,https://ncnonprofits.org/,,"Board governance, program evaluation, strategic planning, fundraising",Coaching/advising fees,Varies,N/A,N/A,Internal NCCN team + contracted consultants,N/A,No,N/A,Unknown,,,919-790-1555,4,"LOW FIT: Primarily internal consulting. Triangle Capacity-Building Network exists but unclear vendor application process."
OH,Ohio Arts Council Capacity Building,Ohio Arts Council,https://apps.oac.ohio.gov/grantsprogs/capacitybuildingFAQ.asp,,"Strategic planning, fiscal management, marketing, web design",Grant covers consultant fees,"$500-$5,000 (arts orgs only)",Yes,Check OAC website,Ohio arts/cultural organization,Unknown,Unknown,Annual,Unknown,,,614-466-2613,4,"LOW FIT: Arts organizations only. Not applicable to general nonprofits."
FL,Volunteer Florida VGF,Volunteer Florida,https://www.volunteerflorida.org/vgf-grant-opportunities/,,"Skills-based volunteering, capacity building training",Subgrants + training to nonprofits,$31.7M total (federal/state/local),Opens late June/July,Summer application cycle,501(c)(3) or government entity,Unknown,Unknown,Annual (summer RFP),Yes - training provided to subgrantees,,info@volunteerflorida.org,,5,"MODERATE FIT: Provides capacity building to nonprofits but unclear if external consultants can join as providers."
AZ,AZ Impact for Good,AZ Impact for Good (merged Alliance of AZ Nonprofits + AZ Grantmakers Forum),https://www.azimpactforgood.org/,,"Board governance, fundraising, DEIA, HR, advocacy, strategic planning",Workshops + consulting,Varies,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,602-279-2966,5,"MODERATE FIT: Offers capacity building services but unclear vendor application process."
MA,Massachusetts Nonprofit Network,Massachusetts Nonprofit Network,https://massnonprofitnet.org/,,"Advocacy, public awareness, capacity building",Member services,Varies,N/A - membership org,N/A,Unknown,N/A,N/A,N/A,Unknown,,,617-330-1188,4,"LOW FIT: Membership organization model, not vendor pool. Could explore partnership."
VT,Vermont Community Foundation Nonprofit Capacity Building,Vermont Community Foundation,https://vermontcf.org/funds/nonprofit-capacity-building/,,"Organizational capacity building consulting",Grant pays consultant fees,"Up to $5,000",Yes,Nov 14 2025,Budget under $1M (priority under $250K),Unknown,Unknown,Closes Nov 2025,No - nonprofit selects own consultant,,,802-388-3355,5,"MODERATE FIT: Deadline approaching (Nov 2025). No approved list - nonprofits choose consultants."
TN,Tennessee Nonprofit Network Consultant Directory,Tennessee Nonprofit Network,https://tnnonprofits.org/resources/consultant-directory/,,"Various nonprofit consulting services",Directory listing,Varies,Yes,Rolling,TNN membership,Immediate,N/A - directory model,N/A,Yes - directory placement,,,,5,"MODERATE FIT: Directory listing model similar to Colorado. Good for visibility."
National,Nonprofit Builder,Nonprofit Builder,https://nonprofitbuilder.org/for-consultants,https://nonprofitbuilder.org/for-consultants,"Full range of organizational development",Foundation pays through platform,"$50,000+ annual (foundation minimum)",By referral only,Rolling,Referral from member foundation or existing consultant,Varies,No - private platform,Ongoing,Yes - vetted consultant network,Anna Kondratyuk,,contact@nonprofitbuilder.org,8,"HIGH FIT: Excellent model - foundations pay, 800+ consultants. BUT requires referral to join. Worth pursuing for scale."
IL,Chicago BACP Nonprofit Capacity Building,City of Chicago BACP,https://www.chicago.gov/city/en/sites/bacp-recovery-plan/home/nonprofitcapacitybuilding2024.html,,"Technical assistance, capacity building",RFP for lead implementation org,Multi-million (Chicago Recovery Plan),RFP process,Check city website,Win city RFP,Unknown,Yes - focus on Qualified Census Tracts,Periodic RFPs,Yes - city partnership,,,,6,"MODERATE FIT: City contracts with implementer who then works with nonprofits. Large scale but requires winning city RFP."
IL,Woods Fund Chicago Capacity Building Initiative,Woods Fund Chicago,https://www.woodsfund.org/capacity-building,,"Individualized consulting, workshops, peer learning",Foundation selects consultants for cohort,10 grantees per cohort,Current grantees only,Unknown,Must be Woods Fund grantee,Unknown,No,Annual cohort,Unknown,,,312-782-2698,4,"LOW FIT: Only for Woods Fund existing grantees. Not open application for consultants."
